user,abs(Fine Arts),abs(Literature),abs(Social Studies),abs(Mathematics),abs(Biology),abs(History),abs(Other),abs(Physics),abs(Chemistry),abs(Astronomy),abs(Earth Science),Fine Arts,Literature,Social Studies,Mathematics,Biology,History,Other,Physics,Chemistry,Astronomy,Earth Science,abs(Predicted Fine Arts),abs(Predicted Literature),abs(Predicted Social Studies),abs(Predicted Mathematics),abs(Predicted Biology),abs(Predicted History),abs(Predicted Other),abs(Predicted Physics),abs(Predicted Chemistry),abs(Predicted Astronomy),abs(Predicted Earth Science),Predicted Fine Arts,Predicted Literature,Predicted Social Studies,Predicted Mathematics,Predicted Biology,Predicted History,Predicted Other,Predicted Physics,Predicted Chemistry,Predicted Astronomy,Predicted Earth Science
57,105.444444444,117.434782609,90.375,,87.6666666667,98.5833333333,,74.0,63.0,36.0,,28.1111111111,45.6086956522,34.0,,21.0,9.91666666667,,74.0,-30.0,36.0,,43.9993354094,49.661285739,35.12733597,,36.6932608788,37.3837653968,,23.0245896686,18.4891136469,22.1704167488,,43.9993354094,49.661285739,35.12733597,,36.6932608788,37.3837653968,,23.0245896686,18.4891136469,22.1704167488,
58,99.9285714286,90.8064516129,85.6470588235,54.5,43.6666666667,70.2857142857,,92.5555555556,81.75,,,18.5,-9.90322580645,-12.5882352941,-37.5,30.3333333333,22.5714285714,,-31.0,-67.25,,,47.1273737183,45.9656530555,39.0348841343,31.1314952244,30.5075753217,34.9526943327,,30.418007885,21.6050694804,,,47.1273737183,45.9656530555,39.0348841343,31.1314952244,30.5075753217,34.9526943327,,30.418007885,21.6050694804,,
59,81.0,91.2,94.9285714286,109.0,65.5,105.0,111.0,96.7777777778,96.6,42.5,,-81.0,-47.2,-23.3571428571,-109.0,-31.0,-53.75,-111.0,-31.2222222222,96.6,-42.5,,36.8114213616,50.9486309795,43.2889745491,36.2262162221,31.4382640121,27.4919127961,37.6525188748,24.5181469976,22.1379509607,18.6403632747,,36.8114213616,50.9486309795,43.2889745491,36.2262162221,31.4382640121,23.1651267175,37.6525188748,24.5181469976,22.1379509607,18.6403632747,
60,101.208333333,89.7254901961,77.2083333333,,,73.0,93.3333333333,,,,,66.5416666667,53.6470588235,55.7083333333,,,47.7058823529,93.3333333333,,,,,43.4565859721,44.3844560803,35.0810892307,,,32.3103320079,37.363791298,,,,,43.2327820613,44.3844560803,35.0810892307,,,32.3103320079,37.363791298,,,,
61,94.8333333333,90.2,93.0,,,75.0,,94.6666666667,,,,55.8333333333,90.2,16.0,,,75.0,,24.6666666667,,,,49.5486685535,46.2584701741,32.788937491,,,27.9276699108,,24.9694876106,,,,49.5486685535,46.2584701741,32.788937491,,,27.9276699108,,24.9694876106,,,
62,91.7115384615,88.1942446043,73.012345679,102.0,68.0625,77.2181818182,119.0,90.6666666667,81.0,86.0,75.0,44.4038461538,42.3956834532,14.0740740741,-49.5,14.4375,-1.10909090909,119.0,16.4761904762,48.8666666667,-20.0,75.0,48.8707388126,46.8147159443,37.6964181292,34.0176516863,33.975685335,31.4968274463,31.3178169782,24.4364966001,22.2632409675,8.55641039971,18.819423212,48.8707388126,46.8147159443,37.6964181292,34.0176516863,33.975685335,31.4968274463,31.3178169782,24.4364966001,22.2632409675,8.55641039971,18.819423212
63,83.0,110.761904762,102.947368421,63.0,46.0,88.6923076923,140.0,137.0,,,,26.6,34.1904761905,72.8421052632,-63.0,-46.0,32.2307692308,140.0,137.0,,,,48.2545343039,50.1701414262,39.2218561332,35.9107804649,46.3922496113,31.1448040219,37.0101676224,26.1305568443,,,,48.2545343039,50.1701414262,39.2218561332,35.9107804649,46.3922496113,31.1448040219,37.0101676224,26.1305568443,,,
64,97.1866666667,93.7852760736,98.7589285714,134.0,96.9375,101.382352941,95.25,107.428571429,96.4444444444,113.666666667,,68.4133333333,62.4846625767,58.8839285714,-6.0,52.8125,67.9117647059,95.25,-8.28571428571,61.5555555556,113.666666667,,45.8075857979,47.0725430032,40.8703778058,37.951074346,32.189914257,33.7783893959,29.5504746464,22.9530038746,21.506414223,27.9349319744,,45.8075857979,47.0725430032,40.8703778058,37.951074346,32.189914257,33.7783893959,29.5504746464,22.9530038746,21.506414223,27.9349319744,
65,99.75,103.941176471,91.2857142857,,,101.0,,,,100.0,,4.75,73.0,91.2857142857,,,101.0,,,,100.0,,42.904566535,48.8366232434,32.8038194465,,,33.8071060674,,,,21.825740658,,42.904566535,48.8366232434,32.8038194465,,,33.8071060674,,,,21.825740658,
66,127.857142857,104.363636364,100.176470588,92.5,82.5,112.272727273,,101.833333333,72.3333333333,107.0,,12.7142857143,38.4545454545,0.764705882353,-92.5,-18.0,27.7272727273,,45.1666666667,72.3333333333,-7.0,,44.1806239895,46.4208280681,38.5111629108,33.5899014817,33.3552242807,38.6846926003,,26.0431396889,21.8289574413,10.9548993511,,44.1806239895,46.4208280681,38.5111629108,33.5899014817,33.3552242807,38.6846926003,,26.0431396889,21.8289574413,10.8277567956,
67,88.0,107.666666667,93.6363636364,,,,,79.75,72.6666666667,100.0,,5.42857142857,67.8888888889,14.3636363636,,,,,21.75,22.6666666667,100.0,,43.0130154285,47.9488774845,33.1656164809,,,,,22.3972455801,22.6101494788,21.7395716353,,43.0130154285,47.9488774845,33.1656164809,,,,,22.3972455801,22.6101494788,21.7395716353,
68,103.5,113.833333333,107.5,,,72.6666666667,,97.0,,,,-103.5,-31.8333333333,-13.0,,,-16.6666666667,,97.0,,,,46.2687771964,43.9981781423,41.2254722968,,,33.015701479,,17.3645135635,,,,46.2687771964,43.9981781423,41.2254722968,,,33.015701479,,17.3645135635,,,
69,111.5,83.2857142857,96.7142857143,,57.0,95.25,99.0,69.0,,,,111.5,83.2857142857,73.0,,57.0,95.25,-99.0,36.3333333333,,,,45.2843985778,43.8859291404,31.2189083234,,35.3932805125,31.7851597928,37.2216737613,19.9614608778,,,,45.2843985778,43.8859291404,30.3860136368,,35.3932805125,31.7851597928,37.2216737613,19.9614608778,,,
70,98.3333333333,104.842105263,106.375,,86.0,85.1875,111.0,,,,,89.4,91.4210526316,58.25,,86.0,85.1875,111.0,,,,,45.7830508785,45.7231350427,40.3099727436,,33.5576563889,37.1169902441,37.17858925,,,,,45.7830508785,45.7231350427,40.3099727436,,33.5576563889,37.1169902441,37.17858925,,,,
71,83.4375,90.096,77.0,63.5,104.166666667,73.2469135802,87.5,72.3333333333,75.2,94.0,79.0,65.7708333333,53.056,38.4680851064,-48.5,53.8333333333,49.3950617284,87.5,-0.333333333333,66.8,94.0,79.0,45.3632256656,45.730830273,38.5826572522,32.3876426189,34.2670175447,31.5709685273,32.2914327264,23.6445191491,22.5310757568,27.1601930559,20.6133001957,45.3632256656,45.730830273,38.5368784731,32.3876426189,34.2670175447,31.5709685273,32.2914327264,23.6445191491,22.5310757568,27.1601930559,20.6133001957
72,118.529411765,105.54,98.1944444444,52.0,93.7142857143,87.5,78.0,102.714285714,108.0,,79.0,-21.3529411765,8.74,43.1944444444,-52.0,13.7142857143,87.5,-40.0,-15.2857142857,18.0,,-79.0,45.2838198419,45.7515771144,38.9963659863,35.5230198628,32.0983284188,35.2275717912,26.5926572015,28.1149138016,26.5646855244,,14.0281752662,45.2838198419,45.7515771144,38.9963659863,35.5230198628,32.0983284188,35.2275717912,26.5926572015,28.1149138016,26.5646855244,,14.0281752662
73,86.3582089552,98.1428571429,98.0387596899,78.3333333333,93.25,89.5166666667,79.75,79.037037037,70.2857142857,91.3333333333,82.0,49.0149253731,58.4285714286,41.4496124031,39.0,32.65,19.1833333333,32.0,62.0,38.5714285714,53.6666666667,82.0,46.5133975755,46.028107078,39.0270262595,33.6885709163,31.8378211201,32.0330583426,33.3916332857,25.9121005454,22.8245749542,22.8038851216,15.475796637,46.5133975755,45.9296424723,39.0270262595,33.6885709163,31.8378211201,32.0330583426,33.3916332857,25.9121005454,22.8245749542,22.8038851216,15.475796637
74,80.6666666667,99.625,73.0,,,64.0,102.0,,48.0,,,0.666666666667,73.875,27.0,,,64.0,-102.0,,48.0,,,47.8050710834,43.9517694777,32.2268344934,,,24.2469515163,37.0062512046,,28.1179088583,,,47.8050710834,43.9517694777,32.2268344934,,,24.2469515163,37.0062512046,,28.1179088583,,
75,113.0,104.470588235,87.2,,,72.6666666667,,,,,,33.25,52.2352941176,-22.4,,,72.6666666667,,,,,,48.8287091949,46.8060674187,39.4004089197,,,33.0448275565,,,,,,48.8287091949,46.8060674187,39.4004089197,,,33.0448275565,,,,,
76,116.111111111,,73.0,48.0,88.0,110.0,,88.1666666667,84.6666666667,117.0,,89.6666666667,,73.0,48.0,88.0,110.0,,21.5,26.6666666667,117.0,,49.4726163505,,34.9698426622,34.9482306766,35.9816809956,16.7142301678,,24.5219036913,22.6431177165,21.996337023,,49.4726163505,,34.9698426622,34.9482306766,35.9816809956,16.7142301678,,24.5219036913,22.6431177165,21.996337023,
77,65.5,85.8333333333,64.5,,,77.0,46.0,,,,,-65.5,85.8333333333,36.0,,,77.0,46.0,,,,,39.0283722374,49.5600914187,37.712729609,,,40.7451003939,36.4069844636,,,,,39.0283722374,49.5600914187,37.712729609,,,40.7451003939,36.4069844636,,,,
78,74.5,64.5,98.3333333333,,39.0,85.6666666667,101.5,32.3333333333,62.0,58.0,,74.5,42.8333333333,36.1111111111,,39.0,85.6666666667,101.5,-10.3333333333,62.0,58.0,,43.3293864504,46.3375798767,37.9519829904,,30.6501933513,31.6048438986,36.5989065557,22.1553980333,22.8190776135,21.2656420105,,43.3293864504,46.3375798767,37.9519829904,,30.6501933513,31.6048438986,36.5989065557,22.1553980333,22.8190776135,21.2656420105,
79,46.3333333333,81.3846153846,68.875,,,84.1111111111,,,16.0,,,-46.3333333333,11.2307692308,4.375,,,-58.7777777778,,,16.0,,,44.9112325782,41.1002661925,37.9147156379,,,30.5824779739,,,16.1752709845,,,44.9112325782,41.1002661925,37.9147156379,,,30.5824779739,,,16.1752709845,,
80,73.9375,78.2285714286,68.4444444444,,64.4,89.0,116.0,74.5,69.3333333333,,,25.8125,67.8285714286,13.1111111111,,-10.4,20.8,-24.0,39.1666666667,69.3333333333,,,48.3078356413,45.492625791,36.9188111855,,31.8753107743,35.4098712823,33.1797177778,27.2734531518,18.5953375696,,,48.3078356413,45.492625791,36.9188111855,,31.8753107743,35.4098712823,33.1797177778,27.2734531518,18.5953375696,,
81,108.2,,118.0,,,109.0,,,,,,77.4,,-118.0,,,109.0,,,,,,40.7638296697,,14.8680628359,,,44.7124024892,,,,,,40.7638296697,,14.8680628359,,,44.7124024892,,,,,
82,119.8,104.777777778,99.8,,98.0,113.333333333,,97.0,100.0,,,23.4,-59.6666666667,-52.2,,-98.0,-44.0,,-97.0,100.0,,,47.4973524169,37.6800763973,37.9651178331,,25.9086546496,40.160083885,,16.7613304046,21.2077493329,,,47.4973524169,37.6800763973,37.9651178331,,25.9086546496,40.160083885,,16.7613304046,21.2077493329,,
83,94.3333333333,132.0,102.444444444,,92.0,,,63.0,61.5,,,-35.6666666667,-27.0,2.66666666667,,-92.0,,,-63.0,61.5,,,39.8781619425,53.6531808486,35.8374827995,,34.5655350228,,,21.6795787809,19.0965019454,,,39.8781619425,53.6531808486,35.8374827995,,34.5655350228,,,21.6795787809,19.0965019454,,
84,93.8,93.5555555556,79.6,,56.0,61.6666666667,,82.0,113.0,,,-21.4,58.4444444444,-30.0,,56.0,61.6666666667,,82.0,113.0,,,52.2003453958,49.250659385,35.3032906215,,34.7470128423,29.6341149834,,16.6751613819,22.5605705454,,,52.2003453958,49.250659385,35.3032906215,,34.7470128423,29.6341149834,,16.6751613819,22.5605705454,,
85,118.0,95.8,,,,81.0,,83.5,59.0,,,118.0,5.0,,,,81.0,,-29.5,59.0,,,46.5403138801,45.614783444,,,,37.0757445534,,19.9158142438,28.434975457,,,46.5403138801,45.614783444,,,,37.0757445534,,19.9158142438,28.434975457,,
86,44.5,61.0,,,,36.5,140.0,,36.0,,,44.5,61.0,,,,36.5,-140.0,,36.0,,,43.8546560091,47.4411659104,,,,25.0493212269,36.0192238615,,28.3918909457,,,43.8546560091,47.4411659104,,,,25.0493212269,36.0192238615,,28.3918909457,,
87,95.75,101.6,74.5,,,65.6666666667,44.0,54.0,35.0,,,-95.75,39.0,-7.25,,,25.0,44.0,-54.0,-9.0,,,49.9341237075,46.8114818507,34.9687432055,,,30.6379909232,36.4461525571,18.269714264,24.6610819812,,,49.9341237075,46.8114818507,34.0460800536,,,30.6379909232,36.4461525571,18.269714264,24.6610819812,,
88,110.411764706,105.170731707,105.34375,122.0,91.5,99.3,104.0,109.2,116.666666667,123.0,,30.8823529412,74.3414634146,52.0,122.0,15.5,99.3,104.0,4.8,116.666666667,-5.0,,48.4032353392,46.2752059487,38.0448133663,34.0537623752,28.3526576881,32.7294905843,51.973012291,25.4594076913,26.8034323859,22.2511638738,,48.4032353392,46.2752059487,38.0448133663,34.0537623752,28.3526576881,32.7294905843,51.973012291,25.4594076913,26.8034323859,22.2511638738,
89,122.5625,112.676470588,90.6756756757,122.0,83.0,97.6315789474,,87.5555555556,82.875,68.0,76.0,53.9375,30.0294117647,19.7027027027,122.0,21.8571428571,24.4736842105,,38.4444444444,-6.625,68.0,76.0,49.4169013331,45.1489752816,35.5049261403,34.0106778639,28.2865845265,34.3071177421,,24.976579309,20.9979634583,22.8022363269,14.7864444555,49.4169013331,45.1489752816,35.5049261403,34.0106778639,28.2865845265,34.3071177421,,24.976579309,20.9979634583,22.8022363269,14.7864444555
90,71.5,125.8,87.5555555556,,84.8,,,,85.8571428571,,,71.5,125.8,4.88888888889,,44.4,,,,61.0,,,36.7955186767,49.2406067772,33.8259589941,,30.8331988424,,,,20.2093385968,,,36.7955186767,49.2406067772,33.8259589941,,30.8331988424,,,,20.2093385968,,
91,74.8461538462,83.0869565217,75.2,,65.5714285714,68.2857142857,,36.0,22.0,,,60.5384615385,77.5217391304,51.8666666667,,25.5714285714,56.5714285714,,36.0,-3.0,,,43.32825334,45.2280715114,36.2219928679,,31.1637097951,28.1749514142,,22.9534699784,26.0487197708,,,43.32825334,45.2280715114,35.7069274475,,31.1637097951,28.1749514142,,22.9534699784,26.0487197708,,
92,112.333333333,115.470588235,101.466666667,115.0,63.5,111.75,97.0,106.166666667,104.5,,,75.8333333333,88.1764705882,43.2,-115.0,11.5,58.25,-97.0,21.1666666667,0.5,,,46.9610397357,50.7761402337,37.7825218354,36.5278527492,37.4942797829,38.0581937223,29.5646904899,25.725285503,20.0026690431,,,46.9610397357,50.7761402337,37.7825218354,36.5278527492,37.4942797829,38.0581937223,29.5646904899,25.725285503,20.0026690431,,
93,71.2,74.3666666667,54.3888888889,,71.0,59.3333333333,96.0,63.6666666667,,,,17.6,32.2333333333,25.0925925926,,-71.0,9.33333333333,96.0,63.6666666667,,,,47.0388530133,43.379279563,34.4726181204,,26.3790614573,23.0214401957,51.7575897342,25.1767676024,,,,47.0388530133,43.379279563,34.4726181204,,26.3790614573,16.693195178,51.7575897342,25.1767676024,,,
94,94.75,110.0,89.0833333333,,,83.375,,73.5,13.0,,,-40.25,-16.3157894737,-10.0833333333,,,-43.125,,-73.5,-13.0,,,39.9912866728,44.7323706491,32.3478370868,,,31.9728867071,,21.8337601164,19.7030066556,,,39.9912866728,44.7323706491,32.3478370868,,,31.9728867071,,21.8337601164,19.7030066556,,
95,130.6,112.75,119.0,,117.5,111.333333333,,104.25,61.0,,,82.2,5.25,-58.75,,10.5,-26.6666666667,,-63.75,61.0,,,47.1187165115,46.269108751,39.317131752,,26.8153276677,38.7450476782,,22.7835958363,20.7339379008,,,47.1187165115,46.269108751,39.317131752,,26.8153276677,38.7450476782,,22.7835958363,20.7339379008,,
96,91.125,85.3888888889,92.6875,,64.0,86.6666666667,,82.5,73.0,,,51.125,51.8333333333,21.6875,,-22.0,28.0,,37.5,73.0,,,49.1551992975,45.7071434078,38.8674468116,,34.3955206344,33.630514198,,33.9389531546,19.4599217379,,,49.1551992975,45.7071434078,38.8674468116,,34.3955206344,33.630514198,,33.9389531546,19.4599217379,,
97,97.0,105.0,71.5,,88.5,,,101.5,104.0,,,97.0,105.0,27.5,,77.0,,,101.5,104.0,,,43.9906265913,45.4115105954,31.8097310919,,30.4039945606,,,26.6672810333,20.1576557463,,,43.9906265913,45.4115105954,31.8097310919,,30.4039945606,,,26.6672810333,20.1576557463,,
98,98.6034482759,108.166666667,94.1025641026,,84.6666666667,97.3611111111,103.4,90.0,107.0,103.0,,45.775862069,66.4791666667,43.641025641,,84.6666666667,51.4722222222,61.0,-90.0,-107.0,-103.0,,43.6190325003,45.3244521828,36.2611444782,,42.7504621317,31.0996329737,36.4690566895,25.6429265377,17.0149247085,25.9969112496,,43.6190325003,45.3244521828,35.9442602768,,42.7504621317,29.5204189757,36.4690566895,25.6429265377,17.0149247085,25.9969112496,
99,134.0,120.666666667,108.75,,,91.5,,,,,,134.0,29.3333333333,59.75,,,91.5,,,,,,58.6002253822,47.4966053842,34.7417574172,,,37.6400607033,,,,,,58.6002253822,47.4966053842,34.7417574172,,,37.6400607033,,,,,
100,78.75,99.5,66.875,,63.5,82.0,80.0,61.6666666667,95.3333333333,,,18.0,82.5,42.625,,20.5,-55.2,80.0,-8.33333333333,35.3333333333,,,40.5639124217,49.9789582928,39.8815450793,,29.6195807525,30.2839989562,26.0059654285,23.6104643141,20.2588028698,,,40.5639124217,49.9789582928,39.8815450793,,29.6195807525,30.2839989562,26.0059654285,23.6104643141,20.2588028698,,
101,107.909090909,90.3684210526,67.9333333333,17.0,77.6666666667,81.6666666667,,62.5,58.6666666667,,,49.3636363636,66.4736842105,-13.4,17.0,-4.33333333333,-46.5,,62.5,-19.3333333333,,,51.1079689536,43.5976488818,36.7204153222,36.1400921471,30.2488327417,23.3453806875,,23.6785825594,19.2330640986,,,51.1079689536,43.5976488818,36.7204153222,36.1400921471,30.2488327417,23.3453806875,,23.6785825594,19.2330640986,,
102,85.0,105.0,58.3125,21.0,60.0,75.0,,94.0,37.0,,,85.0,96.5,51.9375,21.0,60.0,75.0,,94.0,37.0,,,45.299611812,41.7859349388,35.4776179707,29.7208370898,30.5240387184,39.3469836734,,25.7449642154,23.4098805574,,,45.299611812,41.7859349388,35.4776179707,29.7208370898,30.5240387184,39.3469836734,,25.7449642154,23.4098805574,,
103,71.3333333333,71.1428571429,76.6666666667,,,89.0,,,,,,71.3333333333,57.7142857143,7.33333333333,,,89.0,,,,,,44.7011502706,41.9166556482,30.2077138722,,,27.4680434581,,,,,,44.7011502706,41.9166556482,30.2077138722,,,27.4680434581,,,,,
104,99.0,82.0,61.8571428571,,45.0,82.0,,88.0,119.0,,,36.5,82.0,61.8571428571,,45.0,82.0,,88.0,-119.0,,,52.5638107626,51.8803916352,33.7499325137,,43.1498723214,32.7463239593,,23.8755267206,27.0865216594,,,52.5638107626,51.8803916352,33.7499325137,,43.1498723214,32.7463239593,,23.8755267206,27.0865216594,,
105,25.6,48.25,61.8,,94.0,72.0,,117.5,62.0,,,25.6,48.25,61.8,,94.0,72.0,,117.5,62.0,,,40.9502015886,50.5204640966,36.0635143393,,29.0898927986,29.7164134647,,25.2260187358,20.3030927873,,,40.9502015886,50.5204640966,36.0635143393,,29.0898927986,29.7164134647,,25.2260187358,20.3030927873,,
106,96.3333333333,115.4,86.3333333333,,110.0,118.25,,102.0,,,,-51.6666666667,22.8,86.3333333333,,-110.0,-66.25,,-102.0,,,,41.5615857187,46.6354160217,32.6734020921,,29.5038190728,27.1914782895,,24.3238633731,,,,41.5615857187,46.6354160217,32.6734020921,,29.5038190728,27.1914782895,,24.3238633731,,,
107,37.0,106.666666667,87.0,,,115.0,,101.0,94.0,,,37.0,106.666666667,18.75,,,-7.0,,-101.0,94.0,,,34.6913995753,46.7606250645,32.5150019735,,,35.4209320372,,23.5734084538,20.2463439326,,,34.6913995753,46.7606250645,32.5150019735,,,35.4209320372,,23.5734084538,20.2463439326,,
108,119.6,92.75,134.75,,,61.0,,91.0,,,,-2.4,-20.25,-60.25,,,21.0,,-91.0,,,,47.0762007082,40.1027744379,41.2424257016,,,33.9235267908,,21.594968626,,,,47.0762007082,40.1027744379,41.2424257016,,,33.9235267908,,21.594968626,,,
109,23.0,119.75,108.75,,19.0,52.5,,87.0,,,,-23.0,68.25,-10.75,,-19.0,-52.5,,-87.0,,,,40.2211388885,48.9867751297,41.9919426246,,23.7390998586,30.812864635,,20.4417169285,,,,40.2211388885,48.9867751297,41.9919426246,,23.7390998586,30.812864635,,20.4417169285,,,
110,125.666666667,109.8,113.5,,54.0,93.5,,76.0,51.5,,,125.666666667,109.8,-113.5,,54.0,4.5,,-76.0,-5.5,,,51.5662296191,50.0288497665,36.159763826,,30.5461519041,31.0138914006,,20.3986324171,22.0049185816,,,51.5662296191,50.0288497665,36.159763826,,30.5461519041,31.0138914006,,20.3986324171,22.0049185816,,
111,100.0,92.1290322581,103.461538462,26.5,79.4,94.8888888889,116.5,69.4545454545,67.4444444444,60.0,,33.0,12.8387096774,37.4615384615,-26.5,-15.8,-7.77777777778,-116.5,38.3636363636,16.1111111111,60.0,,48.3798746241,42.9579491817,37.4020109026,31.0450800755,26.6431067854,27.4143889869,35.1771176813,22.8706042942,19.4311904431,19.8438531361,,48.3798746241,42.9579491817,37.4020109026,31.0450800755,26.6431067854,27.4143889869,35.1771176813,22.8706042942,19.4311904431,19.8438531361,
112,78.1333333333,83.9411764706,78.1666666667,16.0,53.8333333333,68.0,29.0,76.6,39.6666666667,53.0,,55.0666666667,80.1176470588,54.0833333333,16.0,43.5,43.8333333333,29.0,76.6,19.6666666667,53.0,,47.7266500917,45.2605157193,37.581275196,35.6661625223,35.867191436,29.536109592,25.4889512924,21.7983361135,17.9316077833,30.7197093308,,47.7266500917,45.2605157193,37.581275196,35.6661625223,35.867191436,29.536109592,25.4889512924,21.7983361135,17.9316077833,30.7197093308,
113,105.333333333,99.25,97.8888888889,106.0,91.0,81.5846153846,,89.6,79.0,,,84.0,87.625,58.7777777778,-27.0,-91.0,52.8153846154,,14.8,79.0,,,43.8149887669,43.1689165588,36.6127102056,30.555892618,35.3468718493,29.6535483371,,19.4694556817,11.6080421038,,,43.8149887669,43.1689165588,36.6127102056,30.555892618,35.3468718493,29.3327905235,,19.4694556817,11.6080421038,,
114,86.16,88.1162790698,74.15,114.5,78.25,92.75,105.0,75.5,71.0,62.0,,63.12,73.8837209302,2.55,114.5,52.75,-12.25,105.0,48.8333333333,-71.0,62.0,,42.6758679758,45.8310743955,34.9487259155,31.9528387461,32.7630846007,32.40932636,35.88141721,24.5543129881,18.6844005336,20.3591255919,,42.6758679758,45.8310743955,34.5483022547,31.9528387461,32.7630846007,32.40932636,35.88141721,24.5543129881,18.6844005336,20.3591255919,
115,94.5172413793,106.710144928,105.722222222,61.0,83.4285714286,100.916666667,145.0,91.0,79.4666666667,115.0,,32.7931034483,90.9420289855,63.1666666667,61.0,14.8571428571,47.5833333333,145.0,31.8,32.9333333333,115.0,,44.6896392745,45.4552715161,37.925045441,30.7979530834,28.9566132468,31.9069078532,48.4564668194,22.3441641104,17.9419359219,13.6966662414,,44.6896392745,45.4552715161,37.925045441,30.7979530834,28.9566132468,31.9069078532,48.4564668194,22.3441641104,17.9419359219,0.680044399487,
116,95.7,98.5294117647,94.25,70.5,62.0,,,71.3333333333,46.75,,,30.5,45.8235294118,39.75,70.5,-21.3333333333,,,-4.33333333333,27.25,,,40.7500000428,44.8765642325,37.5373685046,37.6351834106,36.6997552123,,,26.3911023372,19.5405282786,,,40.7500000428,44.8765642325,37.5373685046,37.6351834106,36.6997552123,,,26.3911023372,19.5405282786,,
117,74.0,107.75,71.0,,,84.25,91.0,,,,,3.33333333333,46.75,71.0,,,61.25,-91.0,,,,,40.8386206486,45.0403298406,31.2084405719,,,36.1646715499,34.6836040098,,,,,40.8386206486,45.0403298406,31.2084405719,,,36.1646715499,34.6836040098,,,,
118,84.5,85.0,99.0,,103.0,76.3333333333,,94.0,,,,84.5,85.0,99.0,,103.0,31.0,,94.0,,,,42.6274284721,42.3779688337,43.8910536585,,42.5466891626,34.6404108889,,22.1769818927,,,,42.6274284721,42.3779688337,43.8910536585,,42.5466891626,34.6404108889,,22.1769818927,,,
119,88.2105263158,100.935483871,96.1219512195,,94.7777777778,90.0,74.0,92.9230769231,58.8333333333,,,79.4736842105,78.2258064516,48.9024390244,,54.5555555556,61.7142857143,74.0,78.3076923077,-2.83333333333,,,41.1263106596,44.9667992912,33.2746515212,,29.4777210899,35.2902077974,25.187359713,23.4701184286,19.8900808046,,,41.1263106596,44.9667992912,33.2746515212,,29.4777210899,35.2902077974,25.187359713,23.4701184286,19.8900808046,,
120,117.666666667,101.125,84.1111111111,,,87.3333333333,,,25.0,,,117.666666667,36.625,52.7777777778,,,87.3333333333,,,-25.0,,,41.8610862452,40.9167393932,38.2102529354,,,32.5629131362,,,17.6764914604,,,41.8610862452,40.9167393932,38.2102529354,,,32.5629131362,,,17.6764914604,,
121,97.3333333333,102.823529412,106.285714286,,89.6666666667,103.5,140.0,105.25,105.0,107.0,,40.0,13.1764705882,40.8571428571,,-89.6666666667,-64.1666666667,-140.0,-69.25,105.0,-7.0,,40.436563504,43.5281156505,35.9055619271,,26.568430467,24.3294967696,34.5112659644,22.6286078983,22.8101951077,19.7352710176,,40.436563504,43.5281156505,35.9055619271,,26.568430467,24.3294967696,34.5112659644,22.6286078983,22.8101951077,19.7352710176,
122,105.878787879,99.7619047619,82.0416666667,88.6666666667,63.1818181818,79.3214285714,64.5,79.5555555556,85.0,29.0,,59.696969697,38.4761904762,53.3333333333,-8.0,40.2727272727,45.3214285714,64.5,72.0,85.0,-29.0,,45.3007927184,44.2217726226,35.8968283879,33.8413274535,28.2039919475,31.2233304819,29.9981504195,23.1435049974,16.9378635723,15.511670307,,45.3007927184,44.2217726226,35.8968283879,33.8413274535,28.2039919475,31.2233304819,29.9981504195,23.1435049974,16.9378635723,15.511670307,
123,110.4,97.1428571429,95.1875,,80.5,81.2857142857,,67.0,,,,-13.6,25.7142857143,-30.3125,,-80.5,-73.0,,67.0,,,,43.7356071934,43.7714909235,29.8536911211,,32.3287962909,24.7864072455,,24.9382005784,,,,43.7356071934,43.7714909235,29.6449583082,,32.3287962909,24.7864072455,,24.9382005784,,,
124,104.888888889,111.266666667,106.0,121.0,88.8,126.0,,102.571428571,113.0,87.0,,-1.55555555556,75.0,86.1904761905,-121.0,88.8,53.7142857143,,-34.0,-52.0,87.0,,42.9123231888,42.3881809202,34.2207880778,28.2462563578,26.3608124646,29.5054968465,,23.5426784297,19.9784475792,13.9889500388,,42.9123231888,42.3881809202,34.2207880778,28.2462563578,26.3608124646,29.5054968465,,23.5426784297,19.9784475792,13.9889500388,
125,56.0,85.2,50.875,,56.0,35.0,,45.0,,,,16.5,37.3333333333,-13.125,,-56.0,-1.66666666667,,-45.0,,,,47.8315285525,44.4000577098,33.9447045966,,32.7559855463,27.9853984824,,21.9285437963,,,,47.8315285525,44.4000577098,33.9447045966,,32.7559855463,27.9853984824,,21.9285437963,,,
126,59.4,80.0,82.7777777778,,105.0,101.0,,42.6666666667,69.0,58.0,,-59.4,60.4615384615,82.7777777778,,105.0,101.0,,14.6666666667,69.0,58.0,,46.4489973547,40.679892927,32.6880563351,,32.7129010349,17.3724349696,,22.0733423217,18.5331325115,19.1975854659,,46.4489973547,40.679892927,32.6880563351,,32.7129010349,17.3724349696,,22.0733423217,18.5331325115,19.1975854659,
127,101.0,107.2,85.6666666667,,,113.333333333,,,,,,-101.0,68.8,85.6666666667,,,113.333333333,,,,,,49.534229651,43.7596563384,34.3553744464,,,33.9454873227,,,,,,49.534229651,43.7596563384,34.3553744464,,,33.9454873227,,,,,
